,date,BTC
538,2019-02-06 00:00:00,3405.37000000
539,2019-02-07 00:00:00,3398.40000000
540,2019-02-08 00:00:00,3659.04000000
541,2019-02-09 00:00:00,3665.18000000
542,2019-02-10 00:00:00,3680.06000000
543,2019-02-11 00:00:00,3631.05000000
544,2019-02-12 00:00:00,3631.46000000
545,2019-02-13 00:00:00,3609.40000000
546,2019-02-14 00:00:00,3590.56000000
547,2019-02-15 00:00:00,3602.47000000
548,2019-02-16 00:00:00,3618.41000000
549,2019-02-17 00:00:00,3667.58000000
550,2019-02-18 00:00:00,3898.60000000
551,2019-02-19 00:00:00,3907.79000000
552,2019-02-20 00:00:00,3969.74000000
553,2019-02-21 00:00:00,3937.31000000
554,2019-02-22 00:00:00,3962.00000000
555,2019-02-23 00:00:00,4117.76000000
556,2019-02-24 00:00:00,3743.56000000
557,2019-02-25 00:00:00,3827.92000000
558,2019-02-26 00:00:00,3809.23000000
559,2019-02-27 00:00:00,3818.07000000
560,2019-02-28 00:00:00,3813.69000000
561,2019-03-01 00:00:00,3823.00000000
562,2019-03-02 00:00:00,3819.93000000
563,2019-03-03 00:00:00,3807.75000000
564,2019-03-04 00:00:00,3715.30000000
565,2019-03-05 00:00:00,3857.73000000
566,2019-03-06 00:00:00,3861.84000000
567,2019-03-07 00:00:00,3873.64000000
568,2019-03-08 00:00:00,3864.89000000
569,2019-03-09 00:00:00,3943.04000000
570,2019-03-10 00:00:00,3916.82000000
571,2019-03-11 00:00:00,3871.61000000
572,2019-03-12 00:00:00,3882.73000000
573,2019-03-13 00:00:00,3866.00000000
574,2019-03-14 00:00:00,3877.12000000
575,2019-03-15 00:00:00,3923.76000000
576,2019-03-16 00:00:00,4005.98000000
577,2019-03-17 00:00:00,3981.14000000
578,2019-03-18 00:00:00,3987.81000000
579,2019-03-19 00:00:00,4015.53000000
580,2019-03-20 00:00:00,4043.04000000
581,2019-03-21 00:00:00,3980.64000000
582,2019-03-22 00:00:00,3986.93000000
583,2019-03-23 00:00:00,4006.01000000
584,2019-03-24 00:00:00,3992.18000000
585,2019-03-25 00:00:00,3936.12000000
586,2019-03-26 00:00:00,3948.55000000
587,2019-03-27 00:00:00,4038.05000000
588,2019-03-28 00:00:00,4027.81000000
589,2019-03-29 00:00:00,4103.25000000
590,2019-03-30 00:00:00,4106.97000000
591,2019-03-31 00:00:00,4103.95000000
592,2019-04-01 00:00:00,4144.56000000
593,2019-04-02 00:00:00,4857.29000000
594,2019-04-03 00:00:00,4932.60000000
595,2019-04-04 00:00:00,4898.66000000
596,2019-04-05 00:00:00,5004.95000000
597,2019-04-06 00:00:00,5043.89000000
598,2019-04-07 00:00:00,5170.27000000
599,2019-04-08 00:00:00,5236.90000000
600,2019-04-09 00:00:00,5150.00000000
601,2019-04-10 00:00:00,5308.25000000
602,2019-04-11 00:00:00,5017.37000000
603,2019-04-12 00:00:00,5048.01000000
604,2019-04-13 00:00:00,5045.22000000
605,2019-04-14 00:00:00,5131.30000000
606,2019-04-15 00:00:00,5024.95000000
607,2019-04-16 00:00:00,5173.72000000
608,2019-04-17 00:00:00,5202.82000000
609,2019-04-18 00:00:00,5258.44000000
610,2019-04-19 00:00:00,5258.68000000
611,2019-04-20 00:00:00,5291.73000000
612,2019-04-21 00:00:00,5256.14000000
613,2019-04-22 00:00:00,5357.14000000
614,2019-04-23 00:00:00,5493.31000000
615,2019-04-24 00:00:00,5415.00000000
616,2019-04-25 00:00:00,5219.90000000
617,2019-04-26 00:00:00,5314.10000000
618,2019-04-27 00:00:00,5295.69000000
619,2019-04-28 00:00:00,5307.52000000
620,2019-04-29 00:00:00,5238.14000000
621,2019-04-30 00:00:00,5320.81000000
622,2019-05-01 00:00:00,5383.20000000
623,2019-05-02 00:00:00,5492.87000000
624,2019-05-03 00:00:00,5772.69000000
625,2019-05-04 00:00:00,5829.45000000
626,2019-05-05 00:00:00,5775.62000000
627,2019-05-06 00:00:00,5747.79000000
628,2019-05-07 00:00:00,5846.34000000
629,2019-05-08 00:00:00,5987.29000000
630,2019-05-09 00:00:00,6209.18000000
631,2019-05-10 00:00:00,6373.33000000
632,2019-05-11 00:00:00,7076.22000000
633,2019-05-12 00:00:00,6967.31000000
634,2019-05-13 00:00:00,7790.71000000
635,2019-05-14 00:00:00,7947.56000000
636,2019-05-15 00:00:00,8169.87000000
637,2019-05-16 00:00:00,7866.59000000
638,2019-05-17 00:00:00,7355.26000000
639,2019-05-18 00:00:00,7257.45000000
640,2019-05-19 00:00:00,8148.48000000
641,2019-05-20 00:00:00,7938.15000000
642,2019-05-21 00:00:00,7904.87000000
643,2019-05-22 00:00:00,7628.43000000
644,2019-05-23 00:00:00,7851.51000000
645,2019-05-24 00:00:00,7964.87000000
646,2019-05-25 00:00:00,8025.41000000
647,2019-05-26 00:00:00,8614.43000000
648,2019-05-27 00:00:00,8756.32000000
649,2019-05-28 00:00:00,8715.64000000
650,2019-05-29 00:00:00,8645.68000000
651,2019-05-30 00:00:00,8269.54000000
652,2019-05-31 00:00:00,8555.00000000
653,2019-06-01 00:00:00,8544.07000000
654,2019-06-02 00:00:00,8725.98000000
655,2019-06-03 00:00:00,8115.82000000
656,2019-06-04 00:00:00,7687.03000000
657,2019-06-05 00:00:00,7776.50000000
658,2019-06-06 00:00:00,7786.70000000
659,2019-06-07 00:00:00,7980.53000000
660,2019-06-08 00:00:00,7893.62000000
661,2019-06-09 00:00:00,7628.13000000
662,2019-06-10 00:00:00,7982.75000000
663,2019-06-11 00:00:00,7884.90000000
664,2019-06-12 00:00:00,8127.64000000
665,2019-06-13 00:00:00,8218.54000000
666,2019-06-14 00:00:00,8650.00000000
667,2019-06-15 00:00:00,8808.70000000
668,2019-06-16 00:00:00,8953.33000000
669,2019-06-17 00:00:00,9313.96000000
670,2019-06-18 00:00:00,9081.55000000
671,2019-06-19 00:00:00,9255.49000000
672,2019-06-20 00:00:00,9517.12000000
673,2019-06-21 00:00:00,10159.86000000
674,2019-06-22 00:00:00,10729.50000000
675,2019-06-23 00:00:00,10906.07000000
676,2019-06-24 00:00:00,11056.59000000
677,2019-06-25 00:00:00,11820.86000000
678,2019-06-26 00:00:00,13093.80000000
679,2019-06-27 00:00:00,11329.99000000
680,2019-06-28 00:00:00,12400.63000000
681,2019-06-29 00:00:00,11903.13000000
682,2019-06-30 00:00:00,10854.10000000
683,2019-07-01 00:00:00,10624.93000000
684,2019-07-02 00:00:00,10842.85000000
685,2019-07-03 00:00:00,11940.00000000
686,2019-07-04 00:00:00,11145.67000000
687,2019-07-05 00:00:00,10970.73000000
688,2019-07-06 00:00:00,11256.49000000
689,2019-07-07 00:00:00,11406.24000000
690,2019-07-08 00:00:00,12238.60000000
691,2019-07-09 00:00:00,12543.41000000
692,2019-07-10 00:00:00,12108.37000000
693,2019-07-11 00:00:00,11342.89000000
694,2019-07-12 00:00:00,11757.22000000
695,2019-07-13 00:00:00,11355.76000000
696,2019-07-14 00:00:00,10174.18000000
697,2019-07-15 00:00:00,10838.72000000
698,2019-07-16 00:00:00,9439.59000000
699,2019-07-17 00:00:00,9667.92000000
700,2019-07-18 00:00:00,10627.16000000
701,2019-07-19 00:00:00,10504.29000000
702,2019-07-20 00:00:00,10740.23000000
703,2019-07-21 00:00:00,10589.45000000
704,2019-07-22 00:00:00,10340.31000000
705,2019-07-23 00:00:00,9864.91000000
706,2019-07-24 00:00:00,9763.28000000
707,2019-07-25 00:00:00,9879.87000000
708,2019-07-26 00:00:00,9824.00000000
709,2019-07-27 00:00:00,9476.52000000
710,2019-07-28 00:00:00,9541.54000000
711,2019-07-29 00:00:00,9507.64000000
712,2019-07-30 00:00:00,9574.21000000
713,2019-07-31 00:00:00,10080.53000000
714,2019-08-01 00:00:00,10374.99000000
715,2019-08-02 00:00:00,10523.75000000
716,2019-08-03 00:00:00,10816.86000000
717,2019-08-04 00:00:00,10929.23000000
718,2019-08-05 00:00:00,11828.80000000
719,2019-08-06 00:00:00,11481.69000000
720,2019-08-07 00:00:00,11975.03000000
721,2019-08-08 00:00:00,11999.77000000
722,2019-08-09 00:00:00,11879.99000000
723,2019-08-10 00:00:00,11309.31000000
724,2019-08-11 00:00:00,11549.97000000
725,2019-08-12 00:00:00,11396.08000000
726,2019-08-13 00:00:00,10892.71000000
727,2019-08-14 00:00:00,10050.37000000
728,2019-08-15 00:00:00,10293.93000000
729,2019-08-16 00:00:00,10331.54000000
730,2019-08-17 00:00:00,10216.02000000
731,2019-08-18 00:00:00,10306.78000000
732,2019-08-19 00:00:00,10915.54000000
733,2019-08-20 00:00:00,10760.51000000
734,2019-08-21 00:00:00,10142.57000000
735,2019-08-22 00:00:00,10099.88000000
736,2019-08-23 00:00:00,10389.55000000
737,2019-08-24 00:00:00,10134.35000000
738,2019-08-25 00:00:00,10142.69000000
739,2019-08-26 00:00:00,10372.25000000
740,2019-08-27 00:00:00,10185.05000000
741,2019-08-28 00:00:00,9721.00000000
742,2019-08-29 00:00:00,9498.44000000
743,2019-08-30 00:00:00,9584.54000000
744,2019-08-31 00:00:00,9587.47000000
745,2019-09-01 00:00:00,9724.98000000
746,2019-09-02 00:00:00,10340.00000000
747,2019-09-03 00:00:00,10615.28000000
748,2019-09-04 00:00:00,10567.02000000
749,2019-09-05 00:00:00,10564.49000000
750,2019-09-06 00:00:00,10298.73000000
751,2019-09-07 00:00:00,10455.88000000
752,2019-09-08 00:00:00,10381.18000000
753,2019-09-09 00:00:00,10303.12000000
754,2019-09-10 00:00:00,10098.15000000
755,2019-09-11 00:00:00,10158.33000000
756,2019-09-12 00:00:00,10415.01000000
757,2019-09-13 00:00:00,10342.06000000
758,2019-09-14 00:00:00,10335.02000000
759,2019-09-15 00:00:00,10302.01000000
760,2019-09-16 00:00:00,10251.31000000
761,2019-09-17 00:00:00,10187.82000000
762,2019-09-18 00:00:00,10156.99000000
763,2019-09-19 00:00:00,10244.29000000
764,2019-09-20 00:00:00,10168.59000000
765,2019-09-21 00:00:00,9986.39000000
766,2019-09-22 00:00:00,10028.87000000
767,2019-09-23 00:00:00,9702.25000000
768,2019-09-24 00:00:00,8493.14000000
